Unnamed: 0,kmeans_0,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,uid,MP0045048_bin,MP0041080_bin,MP0110001_bin,MS0050011_bin,MP0050048_bin,mp_district_13_bin,MP0045115_bin,MP0110037_bin,MP0042110_bin,MP0110027_bin,MP0110022_bin,MP0110010_bin,MP0050003_bin,MP0110026_bin,mp_district_41_bin,MP0050047_bin,MP0110012_bin,MP0045110_bin,MP0110002_bin,MP0110044_bin,MP0050028_bin,MP0110024_bin,MP0110045_bin,MP0110009_bin,MP0041053_bin,MP0042067_bin,MP0050018_bin,MP0110006_bin,MP0110004_bin,MP0110020_bin,MP0110029_bin,MP0110011_bin,MP0110023_bin,MS0050001_bin,MP0110030_bin,MP0110046_bin,MP0110021_bin,label
15245,0,0,0,0,0,0,0,1,0,0,kn15246,15.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,18.0,11.0,11.0,5.0,1.0,11.0,0.0,1.0,0.0,18.0,1.0,17.0,1.0,18.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,19.0,0.0,0.0,18.0,0.0,0.0,19.0,18.0,0
15246,0,0,0,0,0,0,0,1,0,0,kn15247,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,17.0,17.0,1.0,14.0,0.0,1.0,0.0,11.0,0.0,17.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,8.0,17.0,0.0,0.0,16.0,14.0,0
15247,0,0,0,0,0,0,0,1,0,0,kn15248,2.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,0.0,16.0,6.0,1.0,1.0,16.0,0.0,19.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,8.0,0.0,1.0,2.0,0
15248,0,0,0,0,0,0,0,1,0,0,kn15249,5.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,8.0,11.0,8.0,3.0,1.0,11.0,0.0,16.0,0.0,14.0,0.0,11.0,2.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,10.0,6.0,0.0,0.0,14.0,16.0,1
15249,0,0,0,0,0,0,0,1,0,0,kn15250,12.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,10.0,19.0,16.0,7.0,1.0,19.0,0.0,5.0,0.0,10.0,0.0,13.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,4.0,0.0,8.0,6.0,0
15250,0,0,0,0,0,0,1,0,0,0,kn15251,2.0,1.0,0.0,0.0,19.0,0.0,0.0,12.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,10.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15251,0,0,0,0,0,0,0,1,0,0,kn15252,0.0,1.0,0.0,0.0,17.0,0.0,0.0,12.0,19.0,3.0,7.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,17.0,0.0,0.0,16.0,0.0,0.0,15.0,9.0,0
15252,0,0,0,0,0,0,0,1,0,0,kn15253,1.0,0.0,0.0,4.0,13.0,1.0,0.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,19.0,0.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0
15253,0,0,0,0,0,0,0,1,0,0,kn15254,9.0,0.0,0.0,11.0,12.0,0.0,0.0,13.0,9.0,8.0,11.0,0.0,1.0,8.0,0.0,9.0,0.0,15.0,0.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,1.0,0.0,10.0,11.0,0
15254,0,0,0,0,0,0,0,1,0,0,kn15255,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,16.0,13.0,1.0,1.0,16.0,0.0,18.0,1.0,1.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0
15255,0,0,0,0,0,0,0,1,0,0,kn15256,14.0,3.0,0.0,0.0,17.0,0.0,0.0,12.0,7.0,11.0,12.0,0.0,3.0,11.0,0.0,12.0,0.0,15.0,0.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,0.0,9.0,7.0,0
15256,0,0,0,0,0,0,1,0,0,0,kn15257,5.0,0.0,0.0,2.0,13.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
15257,0,0,0,0,0,0,0,1,0,0,kn15258,9.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,8.0,13.0,10.0,2.0,1.0,13.0,0.0,14.0,0.0,14.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,12.0,0.0,2.0,9.0,0.0,0.0,10.0,11.0,0
15258,0,0,0,0,0,0,0,1,0,0,kn15259,18.0,0.0,0.0,11.0,14.0,0.0,0.0,18.0,13.0,19.0,17.0,4.0,1.0,19.0,0.0,2.0,0.0,18.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,6.0,0.0,18.0,15.0,0
15259,0,0,0,0,0,0,0,1,0,0,kn15260,11.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,10.0,8.0,5.0,1.0,10.0,0.0,19.0,0.0,15.0,0.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,13.0,0.0,0.0,10.0,8.0,0
15260,0,0,0,0,0,0,0,1,0,0,kn15261,19.0,0.0,0.0,11.0,0.0,0.0,0.0,19.0,18.0,19.0,18.0,18.0,2.0,19.0,0.0,2.0,0.0,18.0,0.0,18.0,7.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,13.0,0.0,18.0,15.0,0.0,18.0,15.0,1
15261,0,0,0,0,0,0,0,1,0,0,kn15262,18.0,0.0,0.0,11.0,10.0,0.0,0.0,19.0,17.0,13.0,18.0,5.0,1.0,13.0,0.0,2.0,0.0,17.0,1.0,19.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,18.0,19.0,0.0,19.0,18.0,0
15262,0,0,0,0,0,0,0,1,0,0,kn15263,6.0,2.0,0.0,11.0,12.0,0.0,0.0,10.0,4.0,10.0,11.0,5.0,1.0,10.0,0.0,11.0,0.0,5.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,12.0,8.0,0.0,3.0,6.0,9.0,0
15263,0,0,0,0,0,0,1,0,0,0,kn15264,12.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,12.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15264,0,0,0,0,0,0,0,1,0,0,kn15265,2.0,0.0,0.0,11.0,12.0,0.0,0.0,6.0,6.0,2.0,6.0,0.0,1.0,2.0,0.0,11.0,0.0,7.0,0.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,4.0,0.0,3.0,6.0,0
15265,0,0,0,0,0,0,0,1,0,0,kn15266,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,17.0,15.0,19.0,1.0,17.0,0.0,1.0,0.0,19.0,0.0,15.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,19.0,18.0,0.0,3.0,16.0,10.0,0
15266,0,0,0,0,0,0,1,0,0,0,kn15267,5.0,0.0,0.0,11.0,13.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,3.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0
15267,0,0,0,0,0,0,0,1,0,0,kn15268,0.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,19.0,18.0,17.0,2.0,1.0,18.0,1.0,18.0,0.0,0.0,0.0,18.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,16.0,0.0,0.0,18.0,16.0,0
15268,0,0,0,0,0,0,0,1,0,0,kn15269,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,13.0,6.0,1.0,14.0,0.0,2.0,0.0,17.0,0.0,14.0,7.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,2.0,0.0,17.0,0.0,0.0,15.0,12.0,0
